uname,sex,message,like,uid,location,emotion,sentiment_score
超大章鱼丸真好吃,男,整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？整天说歌舞就是印度的是什么文盲？,60,14237095,未知,非常积极,1.00 
Imperio在发呆,男,"无论看几遍，还是太爱这部电影了
理想与现实的冲突，那些因生活而退步的妥协，因种种事情的遗憾
爱着对方却又不会因爱着ta而阻碍ta追寻梦想的脚步
明知道让对方走就是不可能再回头，但还是要顺其自然，wait and see
我爱你，但是又远远不止我爱你",24,40078716,未知,非常积极,1.00 
てれさぱんだ発見,保密,嘉然笔芯嘉然笔芯嘉然笔芯,24,5802817,未知,消极,0.37 
被规定的自由,男,b站弹幕是真的低龄化严重，多好的电影非得分析个谁对谁错，眼里不是好人就是坏人，一个个都tm是感情大师。,56,25277953,未知,非常积极,1.00 
揪一颗荔枝给阿喵,女,虽然哭得好惨，但是意外地释然,23,33703486,未知,非常积极,0.99 
李宫贺,女,电影院三刷的片子，第一次看是因为标签写着歌舞，没想到看完痛哭流涕，为我认为不圆满的结局而感到遗憾；第二遍看完回家立刻写了观后感纪念下来；又带着略微悲伤的心情看了第三遍。大哭了三次，至今《city of stars》还是我有时的单曲循环。时至今日看到b站上线，内心都激动不已。这两年经历些事，也不那么觉得结局不尽如人意了。太爱b站了。,23,16652456,未知,非常积极,1.00 
送你一封笑忘书,女,和年仅九岁的妹妹一同观看，看到后面，我下意识问他们到哪了？妹妹回答去到了一个世界暂停的地方。,26,29518952,江苏,非常积极,1.00 
叫我巧克力张张包就好,女,"关于电影中幻想的那一段说一下我的理解 
首先seb和mia的分开是必然的 但是如同他们在分开是说过的那样 他们会永远彼此 他们在对方的生命中是不一样的烟火 这样的爱如初恋般的美好又超越初恋  
其次seb和mia分开的原因  他们都是有梦想的人 或许中途有过徘徊不前和迷茫无措 但他们有着独立的灵魂  这就注定了他们之间不存在一个人为了爱情牺牲梦想的可能 seb不能放弃自己在当地创建自己的爵士音乐俱乐部的梦想而陪同mia追寻好莱坞电影梦 mia不能丢弃试镜机会而留在当地 这让他们爱情提前面临分开 可我又为这样独立的他们着迷 电影后段我哭了 但觉得真实
最后表达一下 我很爱电影后面幻想的这一设定 它让我重温了seb和mia当初的美好记忆 也让我见识了假如有人放弃梦想 他们在一起后的样子 真的真的是很好的设定  电影结局有遗憾但它真实的让我不得不喜欢  我看到了爱情是相互独立 相互尊重的 我不希望爱情中任何一方要为了对方放弃自己所坚守所热爱的梦想  希望很多年过去 不后悔自己曾经的决定",22,2079882516,未知,非常积极,1.00 
放薯假了,保密,为什么要标中国大陆重映的日期疑惑我一开始没看过这电影但是这电影的几首曲子以前听过 我还以为是电影没出歌先火了笑哭,22,1014753371,广东,非常积极,1.00 
我不吃夜宵了,女,哈哈哈,22,106643322,未知,非常积极,0.87 
饮茶说,男,我有一个爱了十年的女孩子，我们高一相识，大二相恋，寒假里我们一起看了这部影片，放映结束后，我说，或许这样的结局才是完满的，她问我，为什么？当时我没有答上来，六年过去了，如今的我有了答案。大三结束之后，她去了英国读研，我们从异地恋变成了异国恋，即便我们曾在未装修的新房里，互诉衷肠，我说会等她回来，她也说会永远爱我，可终究敌不过时间和空间的双重考验。随着沟通的频次越来越少，我们终于还是分手了，她后来在感情里屡受挫折，我每天陪她和平精英，度过了那段时光，总以为那算我们的续篇，没想到却成了终篇。后来，她又开始了新的感情，我们也渐渐不再联系。我相信善良的她，已经找到了本就属于她的美好生活，而我这个穷小子，能有过这样一段美好的回忆就已经相当知足了。正如影片中的结局一样，我会微笑着目送她奔向自己的幸福，而我则需要继续低头，为了梦想耕耘，我也会像自己说过的那样，会永远爱你，只不过是以其他的身份。,22,326652094,未知,非常积极,1.00 
一颗毛绒球,保密,人生电影。。,24,27819553,未知,非常积极,0.95 
#NAME?,女,爱乐之城真是长在我审美点上的电影,20,156703130,未知,积极,0.77 
FimmyLee,保密,哈哈哈哈哈哈这就是贴脸开大吧请吃红小豆吧！喝水,8,28010410,广西,非常积极,1.00 
浮生安歇,保密,我是从婚介所来的,19,480469918,未知,非常积极,0.84 
吉良家今天的饭n,保密,这个电影后劲太足了，导致我有段时间听到City of Stars就会狂哭,19,5297631,未知,非常积极,0.82 
江冻梨,保密,最后那段不叫精神出轨 而是满满的遗憾和追思。,19,350665402,重庆,非常积极,0.96 
喜剧雇佣兵,保密,20190826晚十点零六分，中央6艺术影院开播，译制片《爱乐之城》2017年，美国,19,407692320,未知,非常积极,0.85 
消灭所有浅烘咖啡,保密,seb和mia已经相遇在了最合适的时间点。即便将时间拉长到他们独自奋斗已经功成名就，mia依然会因为音乐走进某间酒吧，但看到台上弹奏的seb她一定不会有当时的感觉。他们喜欢的都刚好是那个时间段的彼此，一段关系能让对方互相成长。这已经是最好的结局了。实际上个人认为最后的那五分钟甚至有点嘲讽，因为无论如何他们都不会放弃梦想而去选择爱情。如果你认为他们在一起就是最好的结局那你其实没看懂，其实当他们没有在一起时才是最好的结局,19,7143353,湖南,非常积极,1.00 
云の此方,女,真的爱歌舞片,19,1673971,未知,非常积极,0.89 
F134715,保密,从B站婚介所过来的 吃瓜,22,260587837,未知,非常积极,0.81 
雁夕笙,女,大哭明明两个人最后都功成名就，实现了梦想，一切都那么的完美。但是他两为什么不在一起啊啊啊，我不管谁对谁错，我不管物是人非，我就是要他们两个在一起啊啊啊啊大哭大哭大哭大哭大哭大哭大哭大哭大哭靠，眼泪止不住了,22,396787909,未知,非常积极,1.00 
沐歆Dom,女,男主弹最后一曲的时那种遗憾和憧憬，两人的暗流涌动让我人都哭麻了。就算不在一起，也会一直爱着彼此委屈,18,29186515,浙江,非常积极,0.99 
异色眼融合人,男,很美很浪漫的电影，画面景色分镜构图非专业不谈，剧情结构比较分明易懂，于是产生了能预测到剧情的心态，观影过程内心并未泛起波澜，直到劲爆尾杀：幻想出来的另外一条理想时间线，以为要再次擦身而过的那一拥吻，看得我直接坐直了。就是要这种结局才好，如果只是简单在一起那就归于平庸了，就是要这种错过但彼此都让对方成为更好的人始终在心里留有对方的感觉才酸爽，确实担得起神作的称呼。,18,94720956,陕西,非常积极,1.00 
Syiuan,男,我放你去了没有我的未来,18,10420613,未知,非常积极,0.84 
洛萱颜,女,在这个眼神里，他们已经度过了一生,18,29369105,未知,非常积极,0.97 
入夏_,女,是谁2022年的情人节还在为La La Land流泪，是我2233娘大哭,18,5689804,未知,非常积极,0.97 
肉肉城,女,看了90婚介所超级磕一对cp 他们都喜欢爱乐之城我来看看 害羞害羞给心心,17,217319621,未知,非常积极,0.85 
毛球TwT,保密,看过多少遍都不影响我重映再看一遍！喜欢喜欢,17,94080372,广东,非常积极,0.93 
阿铋斯我们做吧,女,b站评论推荐怎么莫名其妙的？之前的高赞评论怎么都没了,17,209440225,陕西,非常积极,0.83 
木樨久兮,保密,如果能再见到你，时隔多年，我该如何致意，以沉默，以眼泪，以微笑，还是淡淡一句别来无恙？,17,29085519,未知,非常积极,1.00 
Wacbde1,保密,这部电影配乐非常顶级，无愧于奥斯卡,17,1720567855,未知,非常积极,1.00 
霍宝Moira,女,绝美的作品,16,12344893,未知,积极,0.71 
脑人,女,哇看弹幕一到歌舞就开始迪士尼行为真的挺影响观感的，本来开弹幕是想找有共鸣的人一起欣赏歌舞。get不到歌舞剧就不要影响我们喜欢的人的心情了tv流泪,16,2204574,未知,非常积极,1.00 
有竹也,保密,萤火虫之墓之后第一部哭得那么惨的电影。其实知道不可能了，也做好准备了，但导演真的很狡猾。他知道我心有期待，于是用毫不突兀的超现实主义风格演示了一场happy ending，然后音乐像潮水褪去，然后米娅离开。一点儿幻想也不肯留给我。,16,3719632,未知,非常积极,1.00 
秋秀与琪,保密,那一眼，我和她过完了一生，亦是无怨无悔，祝安我的朋友,16,322982704,未知,非常积极,1.00 
清汤丸子锅,男,后劲太大了蹑手蹑脚的打开电脑，上GTA后抢了一辆男主款的老敞篷打卡位置，大哭,16,13908446,福建,消极,0.27 
温草性人,男,弹幕呢？,16,14343827,未知,积极,0.75 
老甜橙_,男,之前因为这首歌网恋被骗，对方还是男的。,19,404694355,江苏,积极,0.70 
杨YBAA,男,我完全没有办法想象，如果能遇上这样一位灵魂相依的伴侣，共渡了这么多的日日夜夜和数不清的困难，却能和平的分开并再爱上另外一个人，把身心重新交给别人大哭大哭大哭,19,100704021,未知,非常积极,1.00 
嘉然小姐我爱你,保密,第一次看，不要看弹幕，你可以有自己的理解嘉然笔芯,15,38902215,未知,非常积极,0.89 
pillowwcatt,保密,个人选择罢了，评论很多人喜欢搞升华来修饰另一种选择并强调爱是复杂的，不否认爱本事很复杂，但是这个剧情里爱情梦想并不矛盾，哪有那么多故事，结局单纯就是女主没有选择跟男主一起的生活。5年为真爱根本不长何况看着剧情根本不像5年那么久，孩子都满了一岁多说明结婚是2年前的事情，这电影让我想到《那些年我们》还有朴宝英演的《你的婚礼》这类电影也想到了one day 其实归根到底大众更喜欢共情这类影片，如果结局大美好显得很单调，毕竟大部分人拥有不了事业爱情双丰收的人生，但是对我来说这就是不够爱，是一种选择罢了，她们觉得这种爱情才是不肤浅才是美好的在我看来是一种对生活妥协后的自我安慰，因为这就是他们的现实生活所以更能共情这种结局，大部分爱情剧都是这样结尾让人们耿耿于怀就像罗密欧与朱丽叶泰坦尼克号等。其实也有部分人是男主想象里的那五分钟生活，就像《恋恋笔记本》《时光恋旅人》，所以归根到底看个人选择，这就是为什么我更喜欢恋恋笔记本。,15,674715660,新疆,非常积极,1.00 
碎月之海,保密,隔了一年多再看，为什么多了很多愚蠢的弹幕？不是在骂男主就是在骂女主，要不就嗑cp嗑昏头的，到底看懂这部电影了吗？,15,3011231,广西,非常积极,0.88 
NoW1ne,保密,有些人是真的很喜欢这部电影，还有人说评论装文艺的这个世界上总有和你不同的人大可不必如此揣测,15,286467187,浙江,非常积极,1.00 
菲布理さま,保密,city of stars,15,402154208,未知,中性,0.47 
账号已注销,保密,没想到自己最喜欢的电影的剧情发生在了自己身上,18,110745353,未知,非常积极,0.96 
真不吃香菇,保密,谁懂90婚介所简直就是这个电影的安利官于是我看完了,14,8878558,未知,非常积极,0.95 
Luc1d_,保密,"弹幕这个智商。。。

男主女主吵架时明明大家都没错 只是沟通有问题 
有些人就是要分个对错出来

女主有孩子了又说生气 
女主没有因为爱情影响前进的脚步不是很棒吗
一群没经历过社会毒打的小屁孩 
过不下去不得换个人吗？一定得吊死在一棵树上才舒服？
就不允许别人拥有新生活吗？",14,318869647,未知,非常积极,1.00 
今天也期待着,保密,当初上映时不明白为什么最后会分开，但现在觉得就是因为他们太爱彼此了，都不希望对方为了自己而放弃梦想，于是决定放手，让对方变成最好的自己。,14,35516962,未知,非常积极,0.94 
超神小况,保密,"呜呜呜，评论弹幕还在
b站，下次别这么玩呢大哭大哭",14,364398023,重庆,非常积极,0.98 
抱着自己の弦瑟,男,蛙趣,14,24509209,广东,中性,0.50 
识归途,女,每一首音乐都完美契合剧情，从欢乐的开场到忧伤的曲子结束，两个相爱的人渐行渐远。遗憾不舍，回眸彼此相望的一瞬间，却再也回不到过去，哪怕在脑海里想象已经过完了一辈子，那种幸福却只存在于if线，偏偏还要拍出来与现实做对比，太令人伤痛了。,14,18229650,湖南,非常积极,1.00 
7youaraeee,男,本来以为我对这种电影不会有太大的共情，结果哥们看完直接缓不过劲，挖槽难以描述，只能说真的好看，不是什么文化人，说不出什么词，只能说句牛逼,14,397354901,广东,非常消极,0.07 
八百个搜索词条,保密,哭了笑哭男女主好歹还最终完成了梦想 有太多人最后梦想和爱情都一起走失了,14,1481252445,黑龙江,非常积极,1.00 
吃炸鸡的呆毛兽,女,这么看来，90婚介所那两个人当知道对方最喜欢看lalaland是多么激动的一件事,17,30984332,未知,非常积极,0.98 
Ko_Season,女,"看了三遍了哦。还是好喜欢。每次的泪点和感受都不一样。从觉得是个BE到觉得是个HE再到觉得是一个既不是BE又不是HE的结局。因为有太多的东西缠绕在一起。
这次看也能从除了剧情方面感受到更多的镜头语言，其实很多也在暗示剧情和结局发展。很喜欢里面一些强烈鲜明色彩的服装，对对比色的大胆运用，以及构图和运镜，最主要的还有从头贯穿到位的主题音乐以不同情绪渲染反复出现。
一部充满偶然，色彩，梦想，浪漫，以及必然的作品",17,23531368,未知,非常积极,1.00 
是你在窥屏嘛,保密,一开始我以为我看不懂，但是越看越有味道。不光是表达的情感无声而细腻，在艺术手法上也是。看多了傻白甜夸张的纪实青春文学，才知道为什么有的人偏爱看外国片子，确实会在表现的艺术手法上以创新，而不是抄来抄去。,16,143596113,北京,非常积极,1.00 
黑白键00,女,石头有《爱乐之城》，加菲也有《倒数时刻》了,13,291995952,未知,积极,0.79 
草莓漏奶华,女,"但凡真正搞有个性的文学艺术的人都会泪流满面
但凡真正经历过刻骨铭心的爱或友谊都会明白分开不是不爱，而是太爱了，太想为对方了，最后累了",13,175756779,未知,非常积极,1.00 
福娃Froid,女,我觉得这部电影最可取的是，描述的是两个精神独立个体的爱情，没有谁要去迎合谁，不以奉献和妥协为中心，不会为了融为一体而失去自己，爱情理所应当是陪伴和理解。爱乐之城,13,152027016,未知,非常积极,1.00 
宣告黎明の露之歌,男,bro别以为你的分手是因为你去追求理想了,13,57765108,浙江,非常积极,0.88 
桃片逐雪涛,女,世界上有那么多的城镇，城镇中有那么多的酒馆，她却走进了我这一家,13,2124991276,贵州,非常积极,1.00 
A7在房间,保密,每次情人节都会给身边的小情侣推荐这部电影藏狐,13,290718768,山东,非常积极,0.99 
幽霊切,男,"看之前：听说男女主没在一起，哈哈开玩笑爱情哪有事业重要？
看之后：我不管，最后那段就是真的，他俩就是在一起了！2233娘大哭",13,1861177,辽宁,非常积极,1.00 
只眼只足Oo,保密,什么时候把马戏之王买来！！！,13,16737142,未知,消极,0.24 
王长苏苏苏,保密,再来亿遍,13,46477709,未知,积极,0.63 
冷面小犄角,女,不说多的，隔几个月看一遍爆哭大哭转战怦然心动疗伤,12,14934556,未知,中性,0.48 
WSDWDWSW,女,有时候在b站开弹幕看电影给我的感觉就跟我在电影院看电影但是周围都是小学生的感觉一样。,12,11516317,未知,非常积极,1.00 
起个啥名呢----,保密,没有浓浓的剧本味，这是平凡的理想和朴素的感情,12,153882804,山东,非常积极,0.99 
严多多xy,女,真爱可能就是他们这样不占有不自私，各自成就吧。又是为别人的真爱流泪的一天，结局be美学，挺好的，浪漫中的现实,12,15014283,江苏,非常积极,1.00 
笛卡尔在瑞典,保密,这其实不是爱情电影，是说梦想实现的电影,12,434019700,安徽,非常积极,1.00 
渣渣很皮,女,各自活成了最自我也是对方最爱的样子,12,3165945,未知,非常积极,0.96 
丝之歌还没出呢,保密,每次看这个剧我就想起17年情人节首映专门去看，结局没在一起没想到，结束往后走看一堆情侣一个个都垮起个脸,12,8640248,广西,非常积极,0.99 
R2-D222,保密,17年3月1日和喜欢的人一起去看的，18年2月7日在一起了，电影票现在还留着，愿一直能走下去爱心坎公骑冠剑吃鸡,12,109432426,未知,非常消极,0.11 
Pomelo_o,女,献给所有有梦想的人 如果我们必须失去什么,12,104351087,未知,非常积极,0.98 
跃下阿尔法星瀑,女,感谢这部电影为我带来了一个美好的中午给心心给心心给心心,12,452861513,未知,非常积极,1.00 
想花花的痴汉,保密,全民炫舞画风突变画风突变,28,310912925,未知,非常积极,0.92 
bili_68458134550,保密,因为90婚介所来的举个爪我看看脱单doge,11,488099691,未知,中性,0.47 
NGYYY_,保密,虽然失去了彼此，但都实现了梦想，这于他们而言都是最棒了的吧。可我自私的希望mia的婚姻可以结束，她和seb可以重新在一起，虽然我知道这很荒谬,11,12160132,未知,非常积极,1.00 
沉浮如歌,男,从五年前，我就喜欢上这部电影。我是一个很喜欢看电影的人，唯独这一部，它的预告片我看了无数次，但是从没看过正片。因为我想等到我的另一半，我们在一场浪漫的约会中共同享受它。只是直到今天我依然没有等到那样的人。也或许我永远不会看这部电影，这部电影就像一份礼物，它对我来说是一个惊喜，如果拆开它，我将失去那份期待。,11,251855309,未知,非常积极,1.00 
#NAME?,男,几年前《爱乐之城》刚上的时候，觉得Mia和Sebastian最终没走到一起太遗憾了，相互喜欢的人为什么没在一起呢，今天再看，看着Sebastian最后一个音节没按下去，曲未终，人确散，才感到这电影的后劲，或许喜欢和错过才是人生常态吧，但是有过这种喜欢但不适合的人，也是一种幸运吧,11,433436071,未知,非常积极,1.00 
___该用户不存在_,保密,真是很不错的电影，在我这儿值得99分，扣的01分是因为编剧，女主在5年内从无名演员成为银幕电影明星，这期间一定是为了事业付出所有的，我认为她不可能有时间结婚生子，哪怕丈夫是主内的，她也有孕期孕后身材恢复期这些难熬的阶段，而新人演员消失在大众视野里就会被遗忘。但是瑕不掩瑜，电影描绘的这段爱情实在太美好了，他们曾经那样深爱过，哪怕最后因为梦想分开，再相遇时也能相视一笑，挥手告别，把这份爱深埋心底。,11,1242380297,江西,非常积极,1.00 
流水散云,保密,"还有人看吗脱单doge
这部电影的配色和音乐顶中顶打call",11,1492212713,湖南,非常积极,0.88 
账号已注销,保密,现在B站早就不是原来的B站了真的怀念刚来B站的时候，评论弹幕素质真的是下降很快。,11,28021084,未知,非常积极,0.88 
司延837488,女,让我康康有多少朋友是被《90后婚介所》嘉宾安利到的星星眼,13,175561437,未知,非常积极,0.97 
永不直播丶mata车,男,果然戏剧的内核都是悲剧,13,30910754,未知,非常积极,0.98 
remi2000,保密,看完加菲倒数时刻来重温石头爱乐之城，谁懂,10,28466563,未知,非常积极,0.98 
布丁小鱿,女,石头姐订婚了，加菲也有了新的恋情，两个人真的是现实的lalaland，祝好,10,13045390,未知,非常积极,0.99 
草莓味的春梦,女,这完全是符合爱情观的电影微笑，这是我最近这段时间看的最好的一部了，有遗憾，但是又因为，这个遗憾他们才是完整的，即使你不在我身边，我依然爱你，他们都是独立的个体为自己的梦想努力也尊重对方的梦奥比岛委屈,10,399660716,湖北,非常积极,1.00 
埃米卡Muham-faggot,保密,这简直就是我,10,3.49E+15,江西,非常消极,0.19 
Cruel夏,保密,B站重新上映，影院的重映也就结束了吧。期待上映十周年的重映！,10,398671175,山东,非常积极,0.91 
一只白熊L,保密,又回来了！！！,10,477352971,福建,非常消极,0.17 
地球木瓜小子,保密,12月22号重映，电影院我来了。弥补高中时期没去电影院欣赏的遗憾！！！,10,350673000,江西,消极,0.23 
毛毛mao_a,保密,期待一个重映，电影院看绝对不一样的感觉,10,589198678,江苏,中性,0.55 
惨叫的榨菜兄,男,本身不是个感性的人，却也是不多的几部看哭了的电影，其实到了267的年纪，再看这部电影，一切的不舍和遗憾，都会因为男女主角最后相视一笑而释然，会更加珍惜身边人，美好，有的时候还是存在在幻想里就足够了。,10,5666990,未知,非常积极,1.00 
ari_an_a,女,bilibili矿产无限公司小电视赞,10,247709622,未知,非常积极,0.85 
沙耶香你带我走吧,女,有时就是这样，会以为一直都能在一起，但当真正放下的时候，再回过头来看，就会很美。分开也是一种重逢,10,1286540227,宁夏,非常积极,0.94 
柱惊,保密,啊，本来看之前心里堵得慌，现在直接堵死了,10,384540679,山东,非常消极,0.17 
上一季的人都正常,保密,打call,10,452544435,未知,消极,0.33 
orz困惑君,女,看了90婚介所 第二期被安利了这部电影热词系列知识增加,9,8016938,未知,非常积极,1.00 
水晶流星丶yxy,男,婚介所来的哈哈哈哈哈,9,10729232,未知,非常积极,0.98 
聿枳_,女,爱乐之城这个译名是谁翻译的 很喜欢呜呜呜,9,35733601,未知,非常积极,0.85 
我是苏弘文,男,整部电影我都没有哭，但是最后男主女主对视，男主微微一笑我却破防了大哭大哭大哭,9,55939009,未知,非常积极,1.00 
爱莉希雅officiaI,保密,祝天下有情人四处开炮微笑,9,456283368,未知,非常积极,0.97 
我不会真的是白毛控吧,保密,我喜欢的女孩昨天过生日的时候唱了这首歌的音乐，我也就爱上了这部电影,9,90170909,未知,非常积极,1.00 
有病啊233,保密,"看弹幕一直说什么为了女主放弃自己的梦想我真的服了，才看了一半就大放厥词，中间那里不是男主也感觉到需要创新融合时代吗？他也意识到爵士乐的走向，自己也主动去找主唱创作，电影里面没看到这个片段？什么放弃梦想，不过是梦想改变了，电影都没看完就在那里做总结，还一直刷绿色牛顿，证明你很现代？你很亘的上时代？
特别像那些外放抖音的人，生怕别人不知道你知道流行梗，生怕别人不知道你是个很流行的人，真的恶心。
看电影能不能只看他本身，这么长的电影难道不浪费了你们很多时间刷微博刷短视频吗？这里又没人吹嘘你们好会啊好懂啊",9,183993879,未知,非常积极,1.00 
gbth,保密,不知道歌舞片吗？ky印度片和迪士尼行为的看着真的恼火,9,34900080,未知,积极,0.71 
#NAME?,女,石头姐要结婚了 呜呜呜五年了还在为加菲石意难平,9,1316473,未知,非常积极,0.90 
一只秋尘,女,有些弹幕是真的没素质理解欣赏不了或者看不懂就别看了，非要发问号影响别人的观影体验,9,177327010,未知,中性,0.58 
一颐矣异,保密,能不能买马戏之王啊打call,9,8459070,海南,消极,0.25 
账号已注销25105,男,在b站只有恐怖片能开弹幕，这种电影弹幕里面弟弟太多吐,9,4658728,未知,非常积极,0.97 
无名辛Sin,女,我们都追到了梦，只是梦里没有彼此,9,290552752,四川,非常积极,0.93 
文學少女的憂鬱,女,今年第四次看了，被弹幕搞得很痛苦只能说，我平等地恨所有人,9,44701393,贵州,非常积极,0.82 
Claireeee-e,女,最爱的电影，再看亿遍！！ 感觉身边没有能让我诉说这部电影有多好我有多爱的人。难受（话说这带弹幕的观感不行啊。。）,9,396851497,上海,非常积极,1.00 
美味小皇堡,男,今年我又来啦 仍然一个人OKOKOK,9,195099172,河南,中性,0.52 
CarellRogers,保密,这部电影输给月光男孩就很离谱，离大谱,9,23334371,贵州,非常积极,0.97 
紫色de恋,保密,原来悲剧不是最伤人的，伤人的是它给你可能有的美好的结局，却让你明白是在幻想里。明明曾经有着浓烈的爱意，最后却只能陌路,9,26368818,未知,非常积极,1.00 
红豆薏仁粥w,保密,K重温看完打卡，这是第二遍来看这部电影了，我心中给分是96分，真的剧情音乐服化道上佳，剩下的04分，是致以电影含括的生命中的种种遗憾。这世上总是有那么多人相遇相爱离别重逢失去，太多人在歌颂爱情歌颂为爱牺牲，可是，很少有人提起梦想，太少人去描述为了梦想付出的代价，除了成功学演说家。这世界上就是六便士与月亮不可兼得的，为了六便士，你可能就无法去追逐你要的月亮，而要了那轮月亮，你就不得不立刻奔跑抹去你的世俗你的柴米油盐时时刻刻在灵魂升级以求达到梦想的殿堂。如果他们两个在世俗中沉沦，都放弃或一方放弃了各自的梦想，结果也有很大的概率因为生活的琐碎磨平了一切，包括那份本来灵魂相拥的爱。正因为我爱你，所以我才要成全你，也成全我的梦想，而那个时候，我们同站人生的最顶峰时，陪在彼此身边的人不是你我又有什么关系呢，在那首未完的曲子中，我们就如同彼此的誓言一样，会永远爱你。正因为这样迷人的残缺，才称得上是不负此生吧。多少人即使在一起，也同床异梦，而我们多幸运，实现了各自的梦想，依然相逢一笑如春风。那座繁星之城，从来不属于你我，但我们都知道，它曾因为我们彼此眼中的光而闪烁。愿你我都能遇见那个玫瑰色的夜晚，多美好的景色。,9,10439137,未知,非常积极,1.00 
Lively_Soda,女,最后一次了,4,230252696,上海,中性,0.47 
梦中樱纷飞,女,90婚介所来的，刚刚这个月离婚，却来看lalaland，感觉是不是有点受虐？,11,80777005,未知,非常积极,1.00 
Yellow_02,男,弹幕有时候真的煞风景。。。三十分最经典的一段舞，弹幕全在玩梗。这么浪漫的一段开了弹幕看体验真的差。。建议第一次看的人别开弹幕。,11,82246464,未知,非常积极,1.00 
阿哔桑,保密,竟然有人第一次看这个片子敢开弹幕 这样的片子真的很难得 开弹幕是对自己的残忍,11,313188,未知,非常积极,1.00 
麦兜MAIDOU_,男,我想说我真的没有那么触动，可能我还不懂爱情吧奥比岛委屈,11,630789896,江苏,非常积极,0.99 
如何吃葡萄不吐葡萄皮,保密,2020年公务员笔试第一，面试被翻盘。总分比第二少了02，躺在床上哭了一天，从未感觉离梦想如此之近，辞职准备了四个月，终究一场空。也接近而立之年了，但我不要放弃，我还有梦想！我才考了两年，我不要放弃！我不要老了以后后悔！我不要在失败中死去！我不要一直活在地下里！,17,399241426,未知,非常积极,0.99 
击穿车的白色护膝,女,弹幕是不是有b，建议你们别看爱情片了，被戴绿帽的人看什么都像绿帽，好好的一部电影氛围全被毁了,18,7659849,福建,非常积极,1.00 
碎碎鸣鸣,保密,这电影后劲特别大，看过一遍之后，忍不住再看一遍,8,15420679,未知,非常积极,0.98 
封凛凛,女,并不认为两个人现在有后悔，而是人生幸有一个人陪伴你走过艰难的时光，那段回忆是真的，两个人当时的感情是真挚的，那个时候的他的回忆会永远陪伴你，并且能够在低谷的时候为你发光发热。,8,32393205,未知,非常积极,1.00 
轻吟挽歌,女,"This is what love is 
This is what dream is
This is what life is",8,13209276,未知,非常消极,0.00 
无机盐77777,保密,假如一切重来，我会在第一次见面吻你，推掉工作来看你的第一次表演，我会辞掉工作跟随你到巴黎，巴黎也有好的爵士乐，我们会有美好家庭，把孩子丢给保姆的夜晚，开车带你进去吃饭，然后一起走进酒吧，听别人弹起我写的曲子,8,2109457839,未知,非常积极,1.00 
红楼隔雨相望冷_,女,婚介所让我们相遇,8,28779983,未知,非常积极,0.97 
我不烦我不烦我不烦,保密,"这份爱是春夏秋的陪伴，欢愉，鼓励与支持，是冬天时目送你离开
盼你飞向自己的天空，却说一句永远爱你
故事里虽有缺憾，却是最浪漫的命运",8,110182705,未知,非常积极,1.00 
凡凡凣凢,男,我觉得电影最可贵的就是最后一段两人相视的微笑，尽管明白当初的选择会让他们相恋相伴一生，但仍然尊重了彼此的理想，两个精神独立个体的爱情，没有谁要去迎合谁，不以奉献和妥协为中心，不会为了融为一体而失去自己，不对自己的选择后悔，热爱自己的选择。,8,86649788,未知,非常积极,1.00 
依诺rose,保密,"我和我的女友在一七年七夕在电影院观看了这部电影，我们很喜欢。
那天，我们相爱了。
三年后，我们就像电影中的男女主角，平静的分开了，平静的没有一丝波澜。",8,304800147,未知,非常积极,1.00 
随_便-吧,女,说男主为了女主放弃梦想的一看就是擅长感动自己多过感动别人的,8,38597655,未知,非常积极,1.00 
喧嚣译世,男,如果lalaland是圆满结局，可能就和我看的其他电影一样随时间淡忘了，真的太爱这个结局了，不记得刷多少次了。,8,10429689,未知,非常积极,1.00 
麻烦请给我多加香菜,女,"看完之后也哭了很久。我感觉我自己很脆弱接受不了遗憾。主角双方虽然遗憾但是双方梦想最后都成真。但是又感觉没有了彼此就像炒菜缺了盐。
能吃。但是。缺了味道。",8,252724424,未知,非常积极,0.99 
Lucner,男,城市里有那么多酒馆，你偏偏走进了我这一家，当你我梦想实现时你的身旁早已不再是我，如果我们再相见，事隔经年。我将以何贺你，以眼泪，以沉默。,8,25890550,未知,非常积极,1.00 
旺仔牛奶粥-即兴版,保密,"五刷。
看完后感受，
如果当时吻你方式抱你

也许结局难讲。

张信哲《信仰》",8,34006580,未知,非常积极,1.00 
达芬奇总出分歧,男,陌生人，七夕快乐。有的百年好合，没有的也希望快乐,8,3.55E+15,河北,非常积极,0.99 
平手王木木,女,"弹一首只有你和我懂得的曲子，
致另一个时空的我们没有错过彼此，
愿这个时空的我们各自安好。",8,8079252,未知,非常积极,0.99 
东方之猪u,保密,这是要杀了我吗朋友，这么轻快的bgm 我以为是he大哭大哭大哭,8,599542720,安徽,非常积极,0.92 
